no,name,altname,RA,Dec,Orb_known(hr),Orb_possible(hr),Spin_known(s),Spin_possible(s),conf
1.0,V1033 Cas,"IGR J00234+6141, 1RXS J002258.3+614111",00 22 57.63,+61 41 07.5,4.033,,563.5,,*****
2.0,V709 Cas,RX J0028.8+5917,00 28 48.83,+59 17 22.0,5.332898,,312.78,,*****
3.0,V515 And,"XSS J00564+4548, 1RXS J005528.0+461143",00 55 19.85,+46 12 56.9,2.731087,,465.48492,,****
4.0,,"1RXS J015317.9+744641, RX J0153.3+7446",01 53 21.01,+74 46 22.0,3.9396,,,1974?,***
,TT Ari,1RXS J020653.0+151744,02 06 53.07,+15 17 41.5,3.3012,,,,*
,HP Cet,SDSS J023322.61+005059.5,02 33 22.61,+00 50 59.4,1.6013,,,,*
5.0,,"LAMOST J024048.51+195226.9, CRTS J024048.5+195227",02 40 48.53,+19 52 27.0,7.3364,,24.9328,,****
6.0,XY Ari,H0253+193,02 56 08.15,+19 26 33.8,6.064719,,206.3,,*****
7.0,GK Per,Nova Persei 1901,03 31 12.00,+43 54 15.2,47.9249,,351.332,,*****
,AH Eri,,04 22 38.13,-13 21 30.6,5.7384,,,2520??,*
8.0,,IGR J04571+4527,04 57 08.32,+45 27 50.0,,6.19?,1218.7,,****
9.0,V1062 Tau,H0459+246,05 02 27.47,+24 45 23.1,9.99119,,3800.0,,*****
10.0,,"Swift J0503.7-2819, 1RXS J050350.6-282324",05 03 49.26,-28 23 08.0,1.36,,,975.2?,***
11.0,UU Col,RX J0512.2-3241,05 12 13.23,-32 41 39.7,,~3.45,863.5,,****
12.0,,"1RXS J052430.2+424449, RX J0524+42, Paloma",05 24 30.47,+42 44 50.2,2.6195,,,8758?,***
13.0,,"Swift J052522.48+241331.8, 1RXS J052523.2+241331",05 25 22.70,+24 13 33.3,,,,226.28?,**
14.0,TV Col,A0526-328,05 29 25.54,-32 49 03.5,5.486398,,1909.7,,*****
15.0,TW Pic,H0534-581,05 34 50.56,-58 01 41.7,,6.06?,,7186??,**
16.0,,Swift J0535.2+2830,05 34 57.92,+28 28 37.2,,,1523.0,,***
17.0,TX Col,1H0542-407,05 43 20.12,-41 01 54.3,5.691,,1909.5,,*****
,FS Aur,1RXS J054748.5+283512,05 47 48.38,+28 35 11.1,1.428,,,,*
,LS Cam,HS 0551+7241,05 57 23.99,+72 41 52.5,3.417247,,,,*
19.0,V405 Aur,RX J0558.0+5353,05 57 59.29,+53 53 44.7,4.143012,,545.4555,,*****
,AH Men,1H0551-819,06 11 43.99,-81 49 22.4,,2.95,,,*
20.0,,Swift J061223.0+701243.9,06 12 22.6,+70 12 43.4,,,,,**
,V552 Aur,"""Aur2"", NSV 2872",06 14 09.89,+45 30 09.2,,,,,*
21.0,MU Cam,1RXS J062518.2+733433,06 25 16.25,+73 34 39.1,4.7186,,1187.2184,,*****
22.0,V902 Mon,IPHAS J062746.41+014811.3,06 27 46.40,+01 48 11.0,8.162,,,2210 ?,***
23.0,V647 Aur,1RXS J063631.9+353537,06 36 32.56,+35 35 43.2,3.46565,,932.9123,,****
,,"2PBC J0658.0-1746, 1RXS J065806.3-174427",06 58 05.87,-17 44 24.4,2.379288,,8565.437,,*
24.0,,1RXS J070407.9+262501,07 04 08.67,+26 25 10.8,4.36925,,480.67,,*****
,,"Swift J0706.8+0325, PBC J0706.7+0327, 1RXS J070648.8+032450",07 06 48.96,+03 24 46.7,1.7018,,6126.36,,*
,V348 Pup,1H0709-360,07 12 32.91,-36 05 38.4,2.444136,,,,*
25.0,,"Swift J0717.8-2156, 1RXS J071748.9-215306",07 17 48.26,-21 53 01.5,5.515,,803.5,,****
,GI Mon,"Nova Monocerotis 1918, HD 58756",07 26 47.06,-06 40 29.3,4.3248,,,2916 ?,**
26.0,BG CMi,3A0729+103,07 31 28.99,+09 56 23.1,3.233965,,913.5066,,*****
27.0,V667 Pup,Swift J0732.5-1331,07 32 37.63,-13 31 09.4,5.611,,512.42,,*****
,V436 Car,RX J0744.9-5257,07 44 57.94,-52 57 13.7,3.6,,,,*
28.0,,"Swift J0746.2-1611, 1RXS J074616.8-161127",07 46 17.11,-16 11 27.6,9.3842,,,2300 ?,**
29.0,,Swift J0749.7-3218,07 49 31.98,-32 15 36.5,,,,,**
29.0,PQ Gem,RE 0751+14,07 51 17.32,+14 44 24.0,5.1926,,833.4199,,*****
,,SDSS J075653.11+085831.8,07 56 53.11,+08 58 31.8,3.29,,,,*
30.0,HT Cam,RX J0757.0+6306,07 57 01.34,+63 06 02.0,1.43309,,515.0592,,*****
31.0,DW Cnc,,07 58 53.01,+16 16 45.2,1.43309,,2315.027,,*****
32.0,,"1RXS J080114.6-462324, PBC J0801.2-462324",08 01 17.02,-46 23 27.5,,,1307.66,,***
33.0,HZ Pup,Nova Puppis 1963 No. 1,08 03 22.84,-28 28 28.5,5.09,,1210.9,,*****
,HM Cnc,"RX J0806.3+1527, 1BMW J080622.8+1527323",08 06 22.95,+15 27 31.0,0.0893,,,,*
34.0,CP Pup,Nova Puppis 1942,08 11 46.06,-35 21 04.9,,1.4743,,,**
35.0,V597 Pup,Nova Puppis 2007,08 16 17.96,-34 15 24.9,2.6687,,,524 ?,**
36.0,,"2PBC J0819.2-2508, 2SXPS J081916.3-250707",08 19 16.21,-25 07 06.0,,,,,**
,,"Swift J0820.6-2805, PBC J0820.4+2801, 1RXS J082033.6-280457",08 20 34.09,-28 04 58.5,,1.5:,,,*
,AT Cnc,,08 28 36.92,+25 20 03.1,4.839,,,1600 ?,*
37.0,WX Pyx,1E 0830.9-2238,08 33 05.76,-22 48 32.0,,5.3 ?,1559.2,,****
,SW UMa,,08 36 42.70,+53 28 38.1,1.3636,,,,*
38.0,EI UMa,"PG 0834+488, 1H0832+488",08 38 21.99,+48 38 02.1,6.434,,741.6,,****
39.0,,IGR J08390-4833,08 38 49.10,-48 31 24.7,,~8 ?,1480.0,,****
40.0,,SDSS J084617.12+245344.1,08 46 17.12,+24 53 44.0,4.38687,,,,**
,VZ Pyx,H0857-242,08 59 19.82,-24 28 55.3,1.76,,,3020 ?,*
,,HS 0922+1333,09 24 55.92,+13 20 51.8,4.0395,,14542.2,,*
41.0,,"PBC J0927.8-6945, Swift J0927.7-6945",09 27 53.07,-69 44 41.9,4.79,,1033.05,,****
42.0,,SDSS J093249.57+472523.0,09 32 49.58,+47 25 22.8,1.5878,,,,**
43.0,,"Swift J0939.7-3244, 1RXS J093949.2-322620",09 39 49.64,-32 26 22.0,8.5104,,,2670 ?,**
44.0,VZ Sex,1RXS J094432.1+035738,09 44 31.68,+03 58 05.3,3.569,,,2450 ?,***
,HY Leo,HS 0943+1404,09 46 34.47,+13 50 57.7,4.42,,,4150 ?,*
45.0,,"Swift J0958.0-4208, 1RXS J095750.4-420801, CSS J095750.7-420836",09 57 50.64,-42 08 35.5,,,295.22,,***
46.0,,SDSS J100516.61+694136.5,10 05 16.58,+69 41 36.4,3.67,,,,**
,KO Vel,"E1013-477, H1011-47",10 15 58.31,-47 58 09.4,10.1,,,?,*
,V381 Vel,"1RXS J101659.4-410332, RX J1016.9-4103",10 16 59.02,-41 03 44.5,,2.038,,7388,*
,YY Sex,RX J1039.7-0507,10 39 46.99,-05 06 58.6,1.574,,,,*
47.0,RZ Leo,SDSS J113722.25+014858.6,11 37 22.18,+01 48 58.9,1.825,,,220 ?,**
48.0,DO Dra,"3A 1148+719, PG 1140+72",11 43 38.54,+71 41 20.8,3.96898,,529.31,,*****
49.0,,ASASSN-18fk,12 08 57.25,+19 16 56.2,,,,1320 ?,**
50.0,,"IGR J12123-5802, 1RXS J121222.7-580118",12 12 26.25,-58 00 20.5,,,,,**
