"source","GHz s","ergs s-1 hz-1"
"psrs_2","0.012418","0.0099372"
"psrs_2","0.000112","0.014406"
"psrs_2","0.001134","0.18496"
"psrs_2","0.007938","0.0057024"
"psrs_2","0.000112","0.000585844"
"psrs_2","0.001708","0.0120422"
"psrs_2","0.00266","0.40396"
"psrs_2","0.0028","1.10171"
"psrs_2","0.01022","0.00864"
"psrs_2","0.012558","0.007203"
"psrs_2","0.00315","0.00245025"
"psrs_2","0.00182","0.220342"
"psrs_2","0.000574","0.00137388"
"psrs_2","0.000672","0.550854"
"psrs_2","0.00091","0.00760416"
"psrs_2","0.000728","0.0384197"
"psrs_2","0.004886","0.03042"
"psrs_2","0.00098","0.00766101"
"psrs_2","0.007966","0.00484237"
"psrs_2","0.002492","0.00093615"
"psrs_2","0.004676","0.00492499"
"psrs_2","0.000322","0.0004096"
"psrs_2","0.00112","0.0007744"
"psrs_2","0.00476","0.00151875"
"psrs_2","0.00126","0.0039675"
"psrs_2","0.008176","0.0027075"
"psrs_2","0.005978","0.00199809"
"psrs_2","0.000924","0.228091"
"psrs_2","0.000854","0.00346112"
"psrs_2","0.006286","0.00184512"
"psrs_2","0.00672","0.00443556"
"psrs_2","0.00175","0.0425085"
"psrs_2","0.000546","0.02783"
"psrs_2","0.00252","0.0315"
"psrs_2","0.002576","0.026047"
"psrs_2","0.000616","0.00123245"
"psrs_2","0.0035","0.00477405"
"psrs_2","0.00013566","0.0036352"
"psrs_2","0.0014","0.00576583"
"psrs_2","0.001106","0.323905"
"psrs_2","0.00266","0.00962361"
"psrs_2","0.00077","0.115681"
"psrs_2","0.004018","0.0522559"
"psrs_2","0.001134","0.0081133"
"psrs_2","0.00112","0.115681"
"psrs_2","0.00504","0.00155585"
"psrs_2","0.00224","0.000845"
"psrs_2","0.003178","0.007921"
"psrs_2","0.00168","0.00329623"
"psrs_2","0.000574","0.740355"
"psrs_2","0.00084","0.00240818"
"psrs_2","0.00168","0.439586"
"psrs_2","0.002226","0.0943718"
"psrs_2","0.02597","0.0467856"
"psrs_2","0.00336","0.694083"
"psrs_2","0.00126","0.185089"
"psrs_2","0.00042","0.056"
"psrs_2","0.0035","0.185089"
"psrs_2","0.0105","0.0140608"
"psrs_2","0.000378","0.00410571"
"psrs_2","0.00252","0.0462722"
"psrs_2","0.000868","0.112784"
"psrs_2","0.00812","0.508994"
"psrs_2","0.00378","0.485858"
"psrs_2","0.001624","0.142129"
"psrs_2","0.000028","0.0127238"
"psrs_2","0.000742","0.0088804"
"psrs_2","0.0000798","0.00032256"
"psrs_2","0.000966","0.0494287"
"psrs_2","0.001281","0.00671536"
"psrs_2","0.00728","0.0366368"
"psrs_2","0.001232","0.0697885"
"psrs_2","0.008148","0.0025047"
"psrs_2","0.0084","0.0122931"
"psrs_2","0.00252","0.00009604"
"psrs_2","0.001946","0.00454276"
"psrs_2","0.00224","0.00192246"
"psrs_2","0.002576","0.00031117"
"psrs_2","0.00084","0.00006912"
"psrs_2","0.000266","0.00173056"
"psrs_2","0.00238","0.0900987"
"psrs_2","0.000574","0.00722779"
"psrs_2","0.00434","0.00181202"
"psrs_2","0.000826","0.0147875"
"psrs_2","0.00175","0.0133678"
"psrs_2","0.0028","0.0103336"
"psrs_2","0.000882","0.0086903"
"psrs_2","0.002002","0.002116"
"psrs_2","0.00812","0.00171925"
"psrs_2","0.00406","9.73287"
"psrs_2","0.000756","0.0535815"
"psrs_2","0.00546","0.00652082"
"psrs_2","0.0028","0.00334176"
"psrs_2","0.000098","0.00123008"
"psrs_2","0.001708","0.00921984"
"psrs_2","0.001064","0.0276768"
"psrs_2","0.0021","0.484632"
"psrs_2","0.005796","0.001849"
"psrs_2","0.00294","0.0072962"
"psrs_2","0.003094","0.0420175"
"psrs_2","0.0189","0.0294549"
"psrs_2","0.00616","0.00766322"
"psrs_2","0.00238","0.0659571"
"psrs_2","0.002968","0.0031104"
"psrs_2","0.000812","0.001296"
"psrs_2","0.1036","0.0000729"
"psrs_2","0.000854","0.0696827"
"psrs_2","0.000812","0.0180248"
"psrs_2","0.000294","0.09251"
"psrs_2","0.000686","0.00153317"
"psrs_2","0.003346","0.0020736"
"psrs_2","0.001246","0.287642"
"psrs_2","0.00098","0.00415872"
"psrs_2","0.00798","0.00741445"
"psrs_2","0.00322","0.120746"
"psrs_2","0.001162","0.0469278"
"psrs_2","0.000854","0.0183322"
"psrs_2","0.00308","0.00552123"
"psrs_2","0.003192","0.00087846"
"psrs_2","0.00105","0.019602"
"psrs_2","0.00154","0.184856"
"psrs_2","0.001386","0.037524"
"psrs_2","0.000112","0.00255512"
"psrs_2","0.000714","0.0255997"
"psrs_2","0.00294","0.011616"
"psrs_2","0.0028","0.272273"
"psrs_2","0.0049","0.00632261"
"psrs_2","0.00126","0.0772468"
"psrs_2","0.00182","0.0653092"
"psrs_2","0.00133","0.00127008"
"psrs_2","0.000392","0.431649"
"psrs_2","0.00532","0.00031205"
"psrs_2","0.00147","0.006048"
"psrs_2","0.000966","0.0559192"
"psrs_2","0.0021","0.0346193"
"psrs_2","0.00574","0.0156868"
"psrs_2","0.00868","0.00246037"
"psrs_2","0.0035","0.010092"
"psrs_2","0.000686","0.0120337"
"psrs_2","0.00252","0.00890669"
"psrs_2","0.00154","0.403225"
"psrs_2","0.00098","0.0185075"
"psrs_2","0.009814","0.00433664"
"psrs_2","0.000966","0.00028566"
"psrs_2","0.000644","0.0028642"
"psrs_2","0.00133","0.0056784"
"psrs_2","0.00105","0.0138384"
"psrs_2","0.001092","0.0222939"
