"CLASS","NAME","DATE","Gl","Gb"
"XDINS","J1856-3754","2007","358.599","-17.215"
"XDINS","J1308+2127","2002","338.733","83.082"
"XDINS","J0420-5022","2004","258.136","-44.386"
"XDINS","J0806-4123","2004","257.426","-4.983"
"XDINS","J0720-3125","1997","244.158","-8.165"
"XDINS","J2143+0654","2005","62.655","-33.139"
"XDINS","J1605+3249","2007","52.88","47.992"
"PSR","J1653-2054","2015","359.969","14.261"
"PSR","J1754-3014","2006","359.862","-2.332"
"PSR","J1745-2912","2006","359.788","-0.175"
"PSR","J1745-2910","2009","359.763","-0.054"
"PSR","J1909-3744","2003","359.731","-19.596"
"PSR","J1759-3107","2004","359.629","-3.673"
"PSR","B1746-30","1992","359.459","-1.244"
"PSR","J1736-2819","2004","359.446","2.036"
"PSR","B1607-13","1985","359.427","26.949"
"PSR","J1747-2958","2002","359.305","-0.841"
"PSR","J1748-3009","2013","359.272","-1.147"
"PSR","B1736-29","1986","359.206","1.064"
"PSR","J1736-2843","2004","359.142","1.764"
"PSR","J1748-30","2015","359.117","-1.141"
"PSR","J1808-3249","2001","359.035","-6.115"
"PSR","J1727-2739","2004","358.943","4.052"
"PSR","J1801-3210","2010","358.922","-4.577"
"PSR","J1733-2837","2006","358.857","2.402"
"PSR","J1741-2945","2002","358.798","0.38"
"PSR","B1742-30","1973","358.553","-0.963"
"PSR","J1738-2955","2002","358.38","0.724"
"PSR","J1741-3016","2002","358.346","0.13"
"PSR","J1547-0944","2013","358.314","33.573"
"PSR","B1737-30","1986","358.294","0.238"
"PSR","J1646-2142","2012","358.266","15.116"
"PSR","J1730-2900","2006","358.123","2.819"
"PSR","J1739-3023","2002","358.086","0.336"
"PSR","J1803-3329","2010","358.015","-5.637"
"PSR","B1747-31","1992","357.982","-2.516"
"PSR","J1710-2616","2012","357.859","8.029"
"PSR","J1654-23","2010","357.859","12.552"
"PSR","J1740-3052","2001","357.811","-0.132"
"PSR","J1739-3049","2002","357.68","0.152"
"PSR","J1802-3346","2010","357.675","-5.629"
"PSR","J1744-3130","2002","357.641","-1.059"
"PSR","J1725-2852","2006","357.636","3.803"
"PSR","J1633-2009","2013","357.631","18.331"
"PSR","J1723-2837","2004","357.616","4.26"
"PSR","J1723-2852","2013","357.482","4.015"
"PSR","J1738-3107","2004","357.358","0.1"
"PSR","J1712-2715","2001","357.325","7.07"
"PSR","J1733-3030","2004","357.32","1.301"
"PSR","B1649-23","1978","357.315","12.454"
"PSR","B1740-31","1992","357.299","-1.148"
"PSR","J1737-3102","2002","357.298","0.373"
"PSR","J1743-3153","2002","357.221","-1.109"
"PSR","J1947-4215","1998","357.183","-27.712"
"PSR","J1727-2946","2004","357.137","2.921"
"PSR","J1755-33","2013","357.109","-4.102"
"PSR","B1736-31","1986","357.096","-0.22"
"PSR","J1734-3058","2015","357.031","0.893"
"PSR","J1727-29","2010","356.973","2.795"
"PSR","J1746-3239","2012","356.957","-2.175"
"PSR","J1751-3323","2003","356.829","-3.382"
"PSR","B1813-36","1978","356.801","-9.374"
"PSR","J1737-3137","2002","356.744","0.145"
"PSR","J1739-3159","2002","356.739","-0.547"
"PSR","J1501-0046","2013","356.582","48.051"
"PSR","J1809-3547","1998","356.541","-7.766"
"PSR","J1801-3458","2006","356.517","-6.023"
"PSR","B1717-29","1972","356.505","4.248"
"PSR","B1735-32","1987","356.466","-0.491"
