Name,RA [deg],Dec [deg],Distance [pc],1–10 keV flux [erg  s^-1 cm^-2],0.1-10 keV flux [erg  s^-1 cm^-2],Radio Band [GHz],Radio Flux [uJy],MCV
EQ Cet,22.218935416666700,-23.662210833333300,283,9e-13,1.2e-12,18-26.5,96,True
BS Tri,32.37420833333330,28.541432500000000,277,1.7e-12,1.9e-12,8-12,57,True
EF Eri,48.55521916666670,-22.59525,163,3.7e-14,6e-14,8-12,87,True
UZ For,53.86938250000000,-25.73938,238,2.5e-13,3.1e-13,4-8,78,True
RX J0502.8+1624,75.71228833333330,16.406066944444400,217,1e-10,1.1e-10,8-12,105,True
LW Cam,106.04178333333300,62.057761666666700,549,2.3e-12,2.8e-12,8-12,50,True
VV Pup,123.77833708333300,-19.054934722222200,135.3,2.7e-12,3.5e-12,8-12,79,True
FR Lyn,133.55842666666700,39.09370833333330,480,2.4e-13,6.5e-13,8-12,28,True
WX LMi,156.61455541666700,38.7507375,96.8,8.7e-15,4.2e-14,4-8,73,True
WX LMi,156.61455541666700,38.7507375,96.8,8.7e-15,4.2e-14,8-12,52,True
ST Umi,286.86655583333300,88.77042833333330,114.2,4e-14,6e-14,8-12,153,True
AR UMa,168.93578791666700,42.9728975,98.6,2.4e-13,3.2e-13,4-8,489,True
AR UMa,168.93578791666700,42.9728975,98.6,1.3e-12,1.7e-12,18-26.5,317,True
EU UMa,177.48209041666700,28.75202611111110,287,6e-13,…,8-12,39,True
V1043 Cen,198.32131125000000,-32.98678972222220,172.9,7.9e-13,1e-12,8-12,20,True
CRTS J150354.0-220710,225.9748975,-22.119565833333300,387,1.5e-12,2e-12,8-12,29,True
BM CrB,235.26945833333300,36.04801222222220,423,1.6e-14,2.1e-14,8-12,43,True
MR Ser,238.1966533333330,18.941345555555600,131.2,1.5e-12,1.8e-12,4-8,239,True
MR Ser,238.1966533333330,18.941345555555600,131.2,1.5e-12,1.8e-12,8-12,116,True
MQ Dra,238.37966583333300,55.2706875,180.7,2.9e-14,7.5e-14,8-12,17,True
AP CrB,238.55143916666700,27.364525,199.6,4.9e-13,8.7e-13,8-12,24,True
AR Sco,245.44701291666700,-22.886218055555600,116.5,1.8e-12,…,5.5,7000,True
V2400 Oph,258.15176375000000,-24.24577027777780,700,4.4e-11,…,2-4,640,True
V1007 Her,261.0262058333330,41.23546694444450,470,1.6e-13,9.4e-13,8-12,38,True
V1323 Her,270.9152695833330,40.20562944444450,1830,1.6e-12,2e-12,4-8,43,True
AM Her,274.0552275,49.86798861111110,87.9,1.1e-10,…,2-4,640,True
AM Her,274.0552275,49.86798861111110,87.9,1.1e-10,…,2-4,880,True
V1432 Aql,295.04758291666700,-10.423825277777800,450,2.1e-11,4.1e-11,8-12,15,True
2MASS J19551247+0045365,298.8019995833330,0.76024,165.5,1.1e-11,1.3e-11,8-12,79,True
AE Aqr,310.0381658333330,-0.8708486111111110,91.34,5.1e-12,…,4.9,7500,True
HU Aqr,316.9924766666670,-5.294599166666670,189.6,3.3e-14,5.4e-14,8-12,44,True
V388 Peg,329.3846904166670,8.920854166666670,720,4.1e-12,6e-11,8-12,34,True
CM Phe,5.388222083333330,-51.70962388888890,308,3.3e-12,4.2e-12,0.43-2.1,<30,False
RX And,16.14807458333330,41.29938444444440,196.6,7e-13,1e-11,8-12,19.6,False
RX And,16.14807458333330,41.29938444444440,196.6,7e-13,1e-11,8-12,13.6,False
TT Ari,31.721165416666700,15.294958611111100,247,2.4e-11,3.1e-11,4-8,39.6,False
TT Ari,31.721165416666700,15.294958611111100,247,2.4e-11,3.1e-11,4-8,240,False
IM Eri,66.17128083333330,-20.119933055555600,185.5,4.3e-12,5.5e-12,0.43-2.1,99,False
V346 Pup,122.70368708333300,-32.868231944444400,290.3,1.7e-13,2.1e-13,0.43-2.1,<30,False
U Gem,118.77180125,22.00140138888890,93.1,1e-11,1.2e-11,8-12,12.7,False
YZ Cnc,122.73604625000000,28.14257222222220,233.5,8.5e-12,1.5e-11,8-12,17.4,False
YZ Cnc,122.73604625000000,28.14257222222220,233.5,8.5e-12,1.5e-11,8-12,26.8,False
IX Vel,123.82903666666700,-49.22240861111110,90.13,2.2e-12,4.2e-12,0.43-2.1,<42,False
SU Uma,123.11778958333300,62.606229722222200,220.1,5.4e-12,7.6e-12,8-12,19.1,False
SU Uma,123.11778958333300,62.606229722222200,220.1,5.4e-12,7.6e-12,8-12,58.1,False
z Cam,126.30499416666700,73.11091222222220,213.5,4.7e-12,5.7e-12,8-12,25,False
z Cam,126.30499416666700,73.11091222222220,213.5,4.7e-12,5.7e-12,8-12,40.3,False
RW Sex,154.98592666666700,-8.698918333333330,221.6,4.4e-12,5.6e-12,0.86-1.7,233,False
RW Sex,154.98592666666700,-8.698918333333330,221.6,4.4e-12,5.6e-12,4-8,26.8,False
QS Vir,207.46667875000000,-13.226944444444400,50,8.5e-13,…,2-4,970,False
V1084 Her,250.9404058333330,34.04431916666670,465,1.6e-12,1.8e-12,4-8,<10.2,False
LS IV -08 3,254.12342625,-8.577418055555560,211,4e-12,5.1e-12,0.43-2.1,<33,False
V341 Ara,254.4229620833330,-63.210676944444400,155.3,1.2e-12,1.5e-12,0.43-2.1,<27,False
V603 Aql,282.22765375,0.5841269444444450,315,6.7e-13,4.3e-12,4-8,22,False
V603 Aql,282.22765375,0.5841269444444450,315,6.7e-13,4.3e-12,0.86-1.7,233,False
V3885 Sgr,296.9188708333330,-42.007331944444400,128.6,4.8e-12,6.1e-12,0.43-2.1,256,False
V5662 Sgr,301.4630116666670,-29.583345833333300,169,3.3e-12,4.2e-12,0.43-2.1,<24,False
SS Cyg,325.6783475,43.58607416666670,112.3,9e-10,…,4.6,180,False
SS Cyg,325.6783475,43.58607416666670,112.3,4.1e-11,…,4.6,810,False
