Instrument	Obs.ID	Start	Stop	Exposure	Count Rate	kT _BB	R _BB	Flux
Swift/XRT (PC)	00033349044	2020 Apr 23 15:16:16	2020 Apr 23 15:49:27	2.0	0.012 +or- 0.002	cdots	cdots	0.045 ^d	
Swift/XRT (PC)	00968211001	2020 Apr 27 19:41:56	2020 Apr 27 20:15:09	1.8	0.37 +or- 0.01	${1.6}_{-0.1}^{+0.2}$	${0.49}_{-0.10}^{+0.12}$	${5.01}_{-0.59}^{+0.05}$	
NICER/XTI	3020560101	2020 Apr 28 00:38:31	2020 Apr 28 16:21:20	4.7	2.94 +or- 0.04	0.80 +or- 0.02	1.11 +or- 0.05	2.49 +or- 0.12	
Swift/XRT (PC)	00033349045	2020 Apr 28 18:00:36	2020 Apr 28 21:37:41	2.9	0.077 +or- 0.005	${0.61}_{-0.10}^{+0.09}$	${0.99}_{-0.19}^{+0.39}$	0.6 +or- 0.1	
Swift/XRT (WT)	00033349046	2020 Apr 29 13:07:57	2020 Apr 29 13:32:57	1.5	0.09 +or- 0.01	${0.36}_{-0.10}^{+0.15}$	${2.74}_{-1.08}^{+6.61}$	${0.69}_{-0.15}^{+0.09}$	
NICER/XTI	3020560102	2020 Apr 29 13:47:17	2020 Apr 29 14:05:20	1.1	0.96 +or- 0.05	0.49 +or- 0.02 ^e	${1.47}_{-0.14}^{+0.17}$	${0.82}_{-0.08}^{+0.11}$	
Swift/XRT (PC)	00033349047	2020 Apr 29 17:54:22	2020 Apr 29 18:27:38	2.0	0.072 +or- 0.006	${0.44}_{-0.06}^{+0.07}$	${2.05}_{-0.49}^{+1.04}$	${0.52}_{-0.10}^{+0.08}$	
NICER/XTI	3655010101	2020 Apr 29 21:31:57	2020 Apr 29 21:48:40	0.8	0.78 +or- 0.04	0.49 +or- 0.02 ^e	${1.88}_{-0.11}^{+0.15}$	0.40 +or- 0.07	
NICER/XTI	3655010102	2020 Apr 30 00:37:56	2020 Apr 30 07:09:40	5.3	0.73 +or- 0.02	0.49 +or- 0.02 ^e	${1.73}_{-0.09}^{+0.12}$	${0.40}_{-0.07}^{+0.05}$	
NICER/XTI	3020560103	2020 Apr 30 13:02:45	2020 Apr 30 13:17:20	0.8	0.72 +or- 0.04	0.49 +or- 0.02 ^e	${1.83}_{-0.14}^{+0.16}$	${0.32}_{-0.07}^{+0.13}$	
Swift/XRT (PC)	00033349048	2020 Apr 30 05:29:05	2020 Apr 30 18:27:53	1.9	0.054 +or- 0.005	${0.44}_{-0.09}^{+0.11}$	${1.55}_{-0.48}^{+1.56}$	${0.46}_{-0.13}^{+0.02}$	
Swift/XRT (WT)	00033349049	2020 Apr 30 07:10:24	2020 Apr 30 11:47:56	1.5	0.05 +or- 0.01	${0.40}_{-0.40}^{+0.27}$	${1.84}_{-0.83}^{+8.70}$	0.57 +or- 0.16	
Swift/XRT (PC)	00033349050	2020 May 1 02:03:14	2020 May 1 22:42:20	2.1	0.056 +or- 0.005	${0.63}_{-0.16}^{+0.09}$	${0.93}_{-0.19}^{+0.51}$	${0.36}_{-0.09}^{+0.19}$	
Swift/XRT (WT)	00033349051	2020 May 1 12:58:08	2020 May 1 13:20:56	1.4	0.05 +or- 0.01	${0.39}_{-0.08}^{+0.09}$	${2.98}_{-0.88}^{+2.74}$	${0.33}_{-0.15}^{+0.04}$	
NuSTAR FPMA/B	80602313002	2020 May 2 00:06:09	2020 May 2 20:31:09	37.1/36.9	0.175 +or- 0.003	${0.59}_{-0.05}^{+0.06}$	${0.85}_{-0.18}^{+0.35}$	0.32 +or- 0.01	
Swift/XRT (WT)	00033349053	2020 May 2 11:50:05	2020 May 2 13:28:56	0.7	0.06 +or- 0.02	${0.69}_{-0.18}^{+0.14}$	${0.97}_{-0.26}^{+0.52}$	${0.30}_{-0.09}^{+0.52}$	
Swift/XRT (PC)	00033349052	2020 May 2 16:33:41	2020 May 2 23:02:54	1.2	0.027 +or- 0.005	${0.71}_{-0.27}^{+0.14}$	${0.69}_{-0.22}^{+0.32}$	${0.18}_{-0.01}^{+0.63}$	
Swift/XRT (WT)	00033349055	2020 May 3 12:55:54	2020 May 3 13:23:56	1.7	0.020 +or- 0.009	${0.45}_{-0.15}^{+0.23}$	${1.24}_{-0.50}^{+3.10}$	${0.27}_{-0.15}^{+0.06}$	
Swift/XRT (PC)	00033349054	2020 May 3 22:23:05	2020 May 3 22:48:52	1.5	0.050 +or- 0.006	${0.68}_{-0.18}^{+0.02}$	${0.93}_{-0.18}^{+0.41}$	${0.24}_{-0.01}^{+0.4}$	
Swift/XRT (PC)	00033349056	2020 May 4 01:47:23	2020 May 4 18:04:51	3.4	0.040 +or- 0.003	${0.48}_{-0.07}^{+0.08}$	${1.29}_{-0.29}^{+0.65}$	${0.28}_{-0.06}^{+0.03}$	
Swift/XRT (WT)	00033349057	2020 May 4 12:40:56	2020 May 4 13:07:56	1.6	0.07 +or- 0.01	${0.66}_{-0.20}^{+0.18}$	${0.85}_{-0.24}^{+0.97}$	${0.53}_{-0.20}^{+0.05}$	
Swift/XRT (PC)	00033349058	2020 May 5 03:17:19	2020 May 5 13:01:52	1.9	0.034 +or- 0.004	${0.53}_{-0.17}^{+0.09}$	${1.15}_{-0.27}^{+1.82}$	${0.15}_{-0.09}^{+0.15}$	
Swift/XRT (WT)	00033349059	2020 May 5 20:40:09	2020 May 5 21:02:56	1.4	0.05 +or- 0.01	${0.55}_{-0.07}^{+0.08}$	${1.37}_{-0.31}^{+0.54}$	${0.19}_{-0.04}^{+0.07}$	
Swift/XRT (PC)	00033349060	2020 May 6 06:36:44	2020 May 6 08:20:52	1.3	0.031 +or- 0.005	${0.46}_{-0.08}^{+0.10}$	${1.50}_{-0.42}^{+1.06}$	${0.18}_{-0.07}^{+0.04}$	
Swift/XRT (PC)	00033349061	2020 May 7 09:30:09	2020 May 7 20:56:54	3.7	0.035 +or- 0.003	0.47 +or- 0.09	${1.57}_{-0.33}^{+0.99}$	${0.23}_{-0.13}^{+0.08}$	
Swift/XRT (PC)	00033349062	2020 May 10 04:28:08	2020 May 10 22:15:52	3.2	0.043 +or- 0.004	${0.63}_{-0.13}^{+0.02}$	${0.99}_{-0.16}^{+0.32}$	0.23 +or- 0.11	
Swift/XRT (WT)	00033349063	2020 May 10 06:01:43	2020 May 10 10:56:56	3.2	0.030 +or- 0.007	0.51 +or- 0.10	${1.51}_{-0.37}^{+1.06}$	${0.24}_{-0.08}^{+0.05}$	
NuSTAR FPMA/B	80602313004	2020 May 10 23:51:09	2020 May 11 20:31:09	38.5/38.2	0.140 +or- 0.002	0.52 +or- 0.04	${1.03}_{-0.20}^{+0.32}$	0.27 +or- 0.01	
NICER/XTI	3020560104	2020 May 11 14:30:54	2020 May 11 16:18:40	1.3	0.54 +or- 0.04	0.49 +or- 0.02 ^e	${1.70}_{-0.11}^{+0.14}$	0.16 +or- 0.01	
Swift/XRT (WT)	00033349064	2020 May 13 02:22:52	2020 May 13 07:29:55	1.9	${0.56}_{-0.17}^{+0.14}$ ^f	0.69 +or- 0.10	${0.95}_{-0.26}^{+1.29}$	${0.17}_{-0.06}^{+0.03}$	
Swift/XRT (WT)	00033349065	2020 May 13 09:03:52	2020 May 13 10:30:56	1.3	${0.56}_{-0.17}^{+0.14}$ ^f	0.69 +or- 0.10	${0.95}_{-0.26}^{+1.29}$	${0.17}_{-0.06}^{+0.03}$	
Swift/XRT (WT)	00033349066	2020 May 15 00:31:07	2020 May 15 03:58:39	3.5	0.059 +or- 0.006	0.46 +or- 0.07	${1.70}_{-0.39}^{+0.86}$	${0.24}_{-0.10}^{+0.04}$	
